0,emplacement,activite,animal,nourriture,date
1,date,octobre,janvier,fevrier,mars,decembre
2,date,janvier,galette des rois,28/01,02/01,30/01
2,date,mars,30/03,st patrick,07/03,22/03
2,date,decembre,02/12,01/12,16/12,reveillon,08/12
